idx,file,result,chart_type
0,arc_radial_histogram.vl.json,Y,arc
1,area.vl.json,Y,area.vl.json
2,area_cumulative_freq.vl.json,Y,area
3,area_density.vl.json,Y,area
4,area_density_facet.vl.json,extent,area
5,area_density_stacked.vl.json,extent,area
6,area_density_stacked_fold.vl.json,Y,area
7,area_gradient.vl.json,filter,area
8,area_overlay.vl.json,filter,area
9,area_temperature_range.vl.json,Y,area
10,area_vertical.vl.json,Y,area
11,bar_1d.vl.json,filter,bar
12,bar_1d_step_config.vl.json,filter,bar
13,bar_aggregate.vl.json,filter,bar
14,bar_aggregate_count.vl.json,Y,bar
15,bar_aggregate_format.vl.json,filter,bar
16,bar_aggregate_size.vl.json,filter,bar
17,bar_aggregate_sort_by_encoding.vl.json,filter,bar
18,bar_aggregate_sort_mean.vl.json,filter,bar
19,bar_aggregate_transform.vl.json,Y,bar
20,bar_aggregate_vertical.vl.json,Y,bar
21,bar_argmax.vl.json,Y,bar
22,bar_argmax_transform.vl.json,filter,bar
23,bar_axis_space_saving.vl.json,Y,bar
24,bar_count_minimap.vl.json,Y,bar
25,bar_distinct.vl.json,Y,bar
26,bar_diverging_stack_population_pyramid.vl.json,filter,bar
27,bar_grouped.vl.json,filter,bar
28,bar_grouped_horizontal.vl.json,filter,bar
29,bar_layered_transparent.vl.json,filter,bar
30,bar_layered_weather.vl.json,filter,bar
31,bar_month.vl.json,Y,bar
32,bar_month_band.vl.json,Y,bar
33,bar_month_band_config.vl.json,Y,bar
34,bar_month_temporal.vl.json,Y,bar
35,bar_month_temporal_initial.vl.json,Y,bar
36,bar_size_default.vl.json,Y,bar
37,bar_size_explicit_bad.vl.json,Y,bar
38,bar_size_fit.vl.json,Y,bar
39,bar_size_responsive.vl.json,Y,bar
40,bar_size_step_small.vl.json,Y,bar
41,bar_sort_by_count.vl.json,Y,bar
42,bar_yearmonth.vl.json,Y,bar
43,bar_yearmonth_custom_format.vl.json,Y,bar
44,boxplot_1D_horizontal.vl.json,Y,boxplot
45,boxplot_1D_horizontal_custom_mark.vl.json,Y,boxplot
46,boxplot_1D_horizontal_explicit.vl.json,Y,boxplot
47,boxplot_1D_vertical.vl.json,Y,boxplot
48,boxplot_2D_horizontal.vl.json,Y,boxplot
49,boxplot_2D_horizontal_color_size.vl.json,Y,boxplot
